Message ID,Session ID,Project,Role,Timestamp
243,,InfoBotDataset.pdf,user,2026-03-19T13:16:17.176867
244,,InfoBotDataset.pdf,ai,2026-03-19T13:16:17.180580
245,,InfoBotDataset.pdf,user,2026-03-19T13:16:37.322313
246,,InfoBotDataset.pdf,ai,2026-03-19T13:16:37.330175
247,,InfoBotDataset.pdf,user,2026-03-19T13:16:55.918128
248,,InfoBotDataset.pdf,ai,2026-03-19T13:16:55.924736
249,,InfoBotDataset.pdf,user,2026-03-19T13:17:15.832801
250,,InfoBotDataset.pdf,ai,2026-03-19T13:17:15.836315
251,,Lumira final report.pdf,user,2026-03-19T13:21:15.144547
252,,Lumira final report.pdf,ai,2026-03-19T13:21:15.153160
253,,Lumira final report.pdf,user,2026-03-19T13:21:35.320585
254,,Lumira final report.pdf,ai,2026-03-19T13:21:35.327594
255,,Lumira final report.pdf,user,2026-03-19T13:22:13.827654
256,,Lumira final report.pdf,ai,2026-03-19T13:22:13.834349
257,,Lumira final report.pdf,user,2026-03-19T13:22:58.688511
258,,Lumira final report.pdf,ai,2026-03-19T13:22:58.695041
259,,InfoBotDataset.pdf,user,2026-03-28T07:18:40.335308
260,,InfoBotDataset.pdf,ai,2026-03-28T07:18:40.337681
261,,InfoBotDataset.pdf,user,2026-03-28T07:19:05.375094
262,,InfoBotDataset.pdf,ai,2026-03-28T07:19:05.378393
263,,InfoBotDataset.pdf,user,2026-03-28T07:24:56.773014
264,,InfoBotDataset.pdf,ai,2026-03-28T07:24:56.779795
265,,InfoBotDataset.pdf,user,2026-03-28T07:26:11.331352
266,,InfoBotDataset.pdf,ai,2026-03-28T07:26:11.338160
267,,InfoBotDataset.pdf,user,2026-03-28T07:27:00.625259
268,,InfoBotDataset.pdf,ai,2026-03-28T07:27:00.659363
269,,InfoBotDataset.pdf,user,2026-03-28T07:31:18.072116
270,,InfoBotDataset.pdf,ai,2026-03-28T07:31:18.079542
271,,InfoBotDataset.pdf,user,2026-03-28T07:34:42.460860
272,,InfoBotDataset.pdf,ai,2026-03-28T07:34:42.467811
273,,InfoBotDataset.pdf,user,2026-03-28T08:00:32.885093
274,,InfoBotDataset.pdf,ai,2026-03-28T08:00:32.888932
275,,InfoBotDataset.pdf,user,2026-03-28T08:00:55.499963
276,,InfoBotDataset.pdf,ai,2026-03-28T08:00:55.506991
277,,lumira_codebase_audit.pdf,user,2026-03-28T11:11:52.927041
278,,lumira_codebase_audit.pdf,ai,2026-03-28T11:11:52.933494
279,,lumira_codebase_audit.pdf,user,2026-03-28T11:12:12.803374
280,,lumira_codebase_audit.pdf,ai,2026-03-28T11:12:12.812058
281,,lumira_codebase_audit.pdf,user,2026-03-28T11:13:31.620255
282,,lumira_codebase_audit.pdf,ai,2026-03-28T11:13:31.627121
283,,lumira_codebase_audit.pdf,user,2026-03-28T11:13:44.013511
284,,lumira_codebase_audit.pdf,ai,2026-03-28T11:13:44.047332
285,,lumira_codebase_audit.pdf,user,2026-03-28T11:13:58.616698
286,,lumira_codebase_audit.pdf,ai,2026-03-28T11:13:58.623796
287,,lumira_codebase_audit.pdf,user,2026-03-28T11:14:25.633101
288,,lumira_codebase_audit.pdf,ai,2026-03-28T11:14:25.640048
289,,lumira_codebase_audit.pdf,user,2026-03-28T11:14:27.021326
290,,lumira_codebase_audit.pdf,ai,2026-03-28T11:14:27.028565
291,,InfoBotDataset.pdf,user,2026-04-05T08:12:15.375524
292,,InfoBotDataset.pdf,ai,2026-04-05T08:12:15.644912
293,,InfoBotDataset.pdf,user,2026-04-05T08:12:38.245344
294,,InfoBotDataset.pdf,ai,2026-04-05T08:12:38.252934
295,,InfoBotDataset.pdf,user,2026-04-05T08:13:14.145095
296,,InfoBotDataset.pdf,ai,2026-04-05T08:13:14.379316
297,,InfoBotDataset.pdf,user,2026-04-05T08:13:31.035923
298,,InfoBotDataset.pdf,ai,2026-04-05T08:13:31.042668
299,,InfoBotDataset.pdf,user,2026-04-05T08:13:46.354475
300,,InfoBotDataset.pdf,ai,2026-04-05T08:13:46.565959
301,,InfoBotDataset.pdf,user,2026-04-05T08:19:58.243219
302,,InfoBotDataset.pdf,ai,2026-04-05T08:19:58.247022
303,,InfoBotDataset.pdf,user,2026-04-05T08:20:37.132669
304,,InfoBotDataset.pdf,ai,2026-04-05T08:20:37.139480
305,,InfoBotDataset.pdf,user,2026-04-05T08:20:56.956513
306,,InfoBotDataset.pdf,ai,2026-04-05T08:20:56.960447
307,,InfoBotDataset.pdf,user,2026-04-05T08:21:35.274710
308,,InfoBotDataset.pdf,ai,2026-04-05T08:21:35.278765
309,,InfoBotDataset.pdf,user,2026-04-05T08:22:02.775819
310,,InfoBotDataset.pdf,ai,2026-04-05T08:22:02.779325
311,,InfoBotDataset.pdf,user,2026-04-05T08:22:28.322949
312,,InfoBotDataset.pdf,ai,2026-04-05T08:22:28.329939
